ID,Rubrik,Beskrivning,GE KravID
713,B67 - Fördefinierade rapporter,"Det ska (B67) finnas fördefinierade rapporter i HES, t.ex.:
- Mätinsamlingsstatistik innehållande tidsintervall, nyttighet, kommunikationsteknik och vilken grupp Mätenheten tillhör
- Mätvärden för enskild Mätenhet innehållande tidsintervall, nyttighet, kommunikationsteknik och vilken grupp Mätenheten tillhör",B67
714,B68 - Info om användare,"HES ska (LB68) ha en vy där information presenteras om systemets Användare, t.ex. användar-id, namn, roll och behörighet.",B68
715,B69 - Händelser och Larm i kartvy,Händelser och Larm ska (B69) kunna visas i en kartvy där det ska vara möjligt för Användaren att filtrera och söka på händelsetyp och visst tidsspann.,B69
716,B70 - Mätpunkt med fritextfält,För varje Mätpunkt ska (B70) det finnas noteringsfält där Användaren kan lägga in fritext.,B70
717,B71 - Hjälpfunktion,I HES användargränssnitt ska (LB71) det finnas en hjälpfunktion som hjälper Användaren att förstå hur arbetsuppgifter utförs med hjälp av systemets funktionalitet.,B71
718,B72 - Rensa mätvärden och loggar,HES ska (B72) innehålla automatiska funktioner för att rensa Mätvärden och loggningar utefter uppsatta regler. Detta för att undvika att mängden av lagrad data (historiska Mätvärden och Händelseloggar) successivt växer.,B72
719,B73 - Filtrering och sortering i larmlista,En Användare ska (B73) ha möjlighet att filtrera och sortera i larmlistan.,B73
720,B74 - Administrera larmvärden,"En Användare med rätt behörighet ska (B74) ha möjlighet att administrera larmvärden t.ex. sätta larmintervall, aktivera och inaktivera Larm.",B74
721,B75 - Kvittera larm,"Användare i HES ska (B75) kunna kvittera ett Larm i larmlistan med olika statustyper t.ex. godkänna, stänga och radera.",B75
722,B76 - Storlek på händelselistan,Händelselistans storlek ska (B76) endast begränsas av tillgänglig lagringsyta.,B76
723,B77 - Dynamisk kartvy,Presentation av data i karta ska (B77) vara dynamiskt anpassningsbart av Användaren t.ex. visning utifrån status eller geografiskt område.,B77
724,B78 - Följa mätinsamlingsprocessen,Det ska (B78) finnas funktionalitet i HES för att följa mätinsamlingsprocessen. t.ex. att de är pågående eller avslutade insamlingsjobb.,B78
725,B79 - Historiska insamlingsjobb,Det ska (B79) finnas funktionalitet i HES för att titta på historiska insamlingsjobb under en vald tidsperiod.,B79
726,B80 - Kommunikationsövervakning,Det  ska (B80) finnas kommunikationsövervakning av Mätenheter och infrastruktur.,B80
727,B81 - Upptäcka mätare med kommunikationsproblem,I HES ska (B81) det vara möjligt för Användaren att upptäcka och se enskilda Mätenheter som har kommunikationsproblem.,B81
728,B82 - Upptäcka område med kommunikationsproblem,I HES ska (B82) det vara möjligt för Användaren att upptäcka och se områden där flera Mätenheter har kommunikationsproblem.,B82
729,B83 - Visa mätare med kommunikationsproblem i karta,I HES ska (B83) det vara möjligt att visualisera Mätenheter med kommunikationsproblem i en grafisk vy/karta som går att zooma in och ut.,B83
730,B84 - Visa mätare med kommunikationsproblem i lista,"I HES ska (B84) det vara möjligt att presentera Mätenheter som har kommunikationsproblem i en lista med information, t ex. felorsak, tidpunkt.",B84
731,B85 - Visa senaste mätvärde och tidpunkt,Senaste Mätvärdet och tidpunkten för kommunikation med Mätenheten ska (B85) visas i HES.,B85
732,B86 - historik för infrastrukturens kommunikation,Det ska (B86) vara möjligt att i HES kunna se minst en månads historik för infrastrukturens kommunikation för enskild Mätenhet.,B86
733,B87 - kopiera statiska fält,"Det ska (B87) vara möjligt för Användaren att kunna kopiera statiska fält i HES som t.ex. rubriker, status, svar på Händelser i systemet.",B87
734,B88 - markera flera objekt och ge kommando,Det ska (B88) vara möjligt för Användaren att markera flera objekt (t.ex. i en larmlista) och därefter ge ett kommando (t.ex. ändra eller radera) som då utförs på alla markerade objekt.,B88
735,B89 - Kräv ytterligare bekräftelse,"Kommandon, som Användaren initierar i HES och som kan få allvarliga konsekvenser vid felaktig hantering (radering av lagrad mäta- och strukturdata och från- och tillkoppling av ström) ska kräva ytterligare bekräftelse innan de utförs. Övriga kommandon ska (B89) utföras direkt.",B89
736,B90 - Massradering,I HES ska (B90) det finnas en funktion för att genomföra massradering av övergripande strukturdataobjekt så att alla kopplade relationer också raderas. T.ex. att detta genomföras via grupptillhörighet.,B90
737,B91 - Konfigurering av Mätenheten,Konfigurering av Mätenheten från HES ska (B91) kunna utföras utan att ladda ner ny Firmware.,B91
738,B92 - Detektera avsaknad av neutralledare,Från HES ska (B92) det gå att konfigurera kriterier för att detektera avsaknad av neutralledare i Mätenheten.,B92
739,B93 - Skapa grupper,"Grupper ska (B93) kunna skapas dynamiskt av Användaren i HES med hjälp av olika parametrar, t.ex. Anläggnings-ID för export av insamlat data eller uppgradering av mätarens mjukvara där grupp kan vara per postnummer eller mätarens identitet.",B93
740,B94 - Grupper för utförande av kommandon,"Konfigurerade grupper ska (B94) kunna användas för att utföra olika kommandon t.ex. förändra insamlingsintervall, exportera insamlat data etc.",B94
741,B95 - Spara personliga vyer,I HES ska (B95) det gå att konfigurera och spara personliga vyer som visas behörighetsstyrt för respektive Användare.,B95
742,B96 - Konfigurera data för kundgränssnittet,I HES ska (B96) det gå att konfigurera vilket data som skickas ut via Kundgränssnittet.,B96
743,B97 - Manuell Estimering av saknade Mätvärden,Det ska (B97) finnas en funktion för manuell Estimering av saknade Mätvärden.,B97
744,B98 - Användargränssnitt på engelska,"Användargränssnittet ska (B98) per Användare kunna väljas att, förutom svenska, vara på engelska.",B98
745,B99 - Systemarbete på svenska,För systemarbete i HES ska (B99) svenska användas.,B99
746,B100 - Återställningstid efter strömavbrott,Återställningstiden för infrastrukturkommunikationen efter ett strömavbrott ska (B100) högst vara 15 minuter efter den tidpunkt då elnätet åter är i drift.,B100
747,B101 - Återställningstid efter kommunikationsavbrott,Återställningstid för infrastrukturkommunikationen efter kommunikationsavbrott bör (B101) högst vara 15 minuter.,B101
748,B102 - Hämta mätardata för 24h för  95% av mätare inom 60 min,Kommunikationslösningen ska  (B102) klara av att hämta in 95 % av all Mätdata från 400 000 mätare och för de senaste 24 timmarna inom 60 minuter,B102
749,B103 - DLMS/ COSEM Suite 2,Mätenheterna bör (B103) stödja kommunikation enligt specifikation DLMS/ COSEM Suite 2.,B103
750,B104 - Licensieringsmetod,HES eller någon av dess underliggande komponenter ska (B104) ej använda en licensieringsmetod som låser installationen till ett visst hårdvaru-id (och därigenom förhindrar eller försvårar driften av systemlösningen i en virtualiserad driftsmiljö).,B104
751,B105 - Databashotell,HES databas ska (B105) kunna placeras i Beställarens databashotell.,B105
752,B106 - Hårdvara för användargränssnittet,"HES ska (B106) vara utformad för att kunna användas med olika typer av datorer, datorplattor och smarta telefoner, med olika arkitektur och operativsystem.",B106
753,B107 - Versionshantering av webservice-gränssnitt,Webservice-gränssnitt ska (B107) vara versionshanterade så att det finns möjlighet att använda gamla Versioner vid behov.,B107
754,B108 - Skicka samma info igen,Det ska (B108) vara möjligt att skicka samma information till HES flera gånger,B108
755,B109 - Konfigurationsförändring för att ändra info som integreras,Beställaren ska (B109) kunna ändra struktur och omfattning på information som integreras till och/eller från HES genom konfigurationsförändring eller likvärdigt.,B109
756,B110 - Katalogtjänst för behörighetsstyrning,Katalogtjänst ska (B110) användas för behörighetsstyrning,B110
757,B111 - Sign on-inloggning,"HES ska (B111) ha single sign on-inloggning för Beställarens Användare på de av Beställaren, för närvarande, använda standardklienter.",B111
758,B112 - PKI,Systemet ska (B112) stödja PKI.,B112
759,B113 - Synkronisering med GE kontrollerad NTP,Mätsystemet och kringliggande infrastruktur som ligger inom GE's nätverk ska (B113) synkroniseras med GE kontrollerad NTP.,B113
760,B114 - Stratum nivå för synkning med NTP,Synkning med NTP ska (B114) vara med stratum nivå som är max 3.,B114
761,B115 - Info i loggposten,Loggposten ska (B115) ge tillräcklig information för att kunna analyseras utan systemåtkomst.,B115
762,B116 - Centralt loggningssystem,Loggarna ska (B116) kunna överföras till ett centralt loggningssystem,B116
763,B117 - Mätare med intrångsskydd och intrångsdetektering,Mätenheterna ska (B117) vara försedda med intrångsskydd och funktioner för intrångsdetektering.,B117
764,B118 - Analysverktyg för intrång,Det ska (B118) finnas lämpliga analysverktyg för att spåra och följa upp intrång och intrångsförsök i Mätenheterna.,B118
765,B119 - Certifierad i enlighet med EUs cybersäkerhetsakt,Mätenheterna bör (B119) vara certifierade i enlighet med EUs cybersäkerhetsakt.,B119
766,B120 - Segmenterad kommunikationslösning,Kommunikationslösningen ska (B120) vara segmenterad.,B120
991,S537 - Utformande av lösning,Leverantören ska (S537) designa och utforma Lösningen enligt ställda krav i Appendix B.2.1 Kravspecifikation Teknisk Lösning.,S537
992,S538 - Tillhandahålla lösningsspecifikationer,Leverantören ska (S538) ta fram design- och lösningsspecifikationer som godkänns av Beställaren innan Leverantören utformar Lösningen.,S538
993,S539 - Ta fram testplan,Leverantören ansvarar för att vid projektstart ta fram en detaljerad testplan som granskas av Beställaren. Utifrån synpunkter som framkommer vid Beställarens granskning ska (S539) Leverantören komplettera testplanen.,S539
994,S540 - Godkännande av testplan,Den således kompletterade planen ska (S540) därefter lämnas till Beställaren för slutligt godkännande.,S540
995,S541 - Testplans innehåll,"Testplanen ska (S541) minst innehålla: 
-Beskrivning av testprocessen enligt innehåll i figur 1 i punkt 3.2, d.v.s. beskrivning av testplanering, förberedelser, genomförande och avslut av test. 
-En beskrivning som steg för steg ger instruktion för genomförande och underlag för utvärdering av testresultat. 
-Beskrivning, bedömning och beslut kring åtgärder av rapporterade fel samt deras allvarlighetsgrad.",S541
996,S542 - Uppdatering av testplan,Leverantören ska (S542) kontinuerligt uppdatera testplanen med de överenskomna förändringar som sker.,S542
997,S543 - Ta fram testfall,"Leverantören ska (S543) utarbeta testfall baserade på avtalade krav, d.v.s. avtalad Specifikation såvida ej annat avtalats.",S543
998,S544 - Testfalls innehåll,Varje testfall ska (S544) innehålla en detaljerad instruktion för genomförande och underlag för utvärdering av testresultat för berörd funktion.,S544
999,S545 - Testverktyg,Leverantören ska (S545) använda ett av Beställaren anvisat verktyg för att följa Beställarens rapportering av testresultat. Leverantören ansvarar för att i verktyget registrera sin återkoppling och status på Beställarens rapporterade fel och synpunkter. Beställaren använder idag ReQtest i felhanteringsprocessen.,S545
1000,S546 - Beställarens testfall,Beställaren ska(S546) ha rätt att utarbeta egna och nya testfall baserade på Specifikation. Nya testfall kan skapas fram till Slutgodkännande av Leveransprojektet.,S546
1001,S547 - Utförande av testfall,"Leverantörer ska (S547) ha möjlighet i de fall det bedöms lämpligt enligt överenskommelse med Beställaren, överlåta till Beställaren att utföra vissa testfall i punkt 3.2.5.",S547
1002,S548 - Testrapport,"Leverantören ska (S548) upprätta en testrapport för de testfaser som Leverantören ansvarar för under Leveransprojektet, enligt figur 1 i punkt 3.2.",S548
1003,S549 - Testrapports innehåll,"Testrapporten ska (S549) minst innehålla: 
-Testfall som körts -Resultat av testerna -Ev. kvarstående fel -Ev. kvarstående testfall -Förslag på åtgärder",S549
1004,S550 - Godkännande av testrapport,Leverantören ska (S550) överlämna testrapporten till Beställaren för kontroll och godkännande.,S550
1005,S551 - Godkännande som startkriterie,Efterföljande test enligt figur 1 under punkt 3.2 ska (S551) ej påbörjas utan att testrapporten från föregående testfas är godkänd av Beställaren.,S551
1006,S552 - Krav på FAT,Leverantören ska (S552) före leverans av Mätsystemet genomföra en systemtest/FAT (FAT – Factory Acceptance Test) hos Leverantören.,S552
1007,S553 - Deltagande på FAT,Leverantören ska (S553) bereda Beställaren eller dennes representant(er) möjlighet att medverka som observatör vid genomförandet av FAT.,S553
1008,S554 - Redovisa förändringar efter FAT,"Modifieringar av Mätsystemet utförda mellan FAT och installation hos Beställaren ska (S554) redovisas av Leverantören,",S554
1009,S555 - Omtest efter modifieringar,Leverantören ska även (S555) redovisa möjliga konsekvenser och påverkan på andra funktioner från gjorda modifieringar. Beställaren har rätt att kräva upprepning av de tester som gjorts i FAT om sådana modifieringar utförs.,S555
1010,S556 - Krav vid leverans och installation i testmiljön,"Leverantören ska (S556) vid leverans och installation av Mätsystemet i Beställarens testmiljö: 
-installera, -konfigurera/parametersätta, -eventuellt migrera strukturdata, -genomföra test med liknande omfattning som FAT samt inkluderat systemintegrationstest (SIT), samt -genomföra felrättningar och omtester.",S556
1011,S557 - Omfattning UAT,Beställarens UAT (User Acceptance Test) ska (S557) omfatta test och verifiering av samtliga krav enligt Specifikationen om inte annat överenskommes.,S557
1012,S558 - Utbildning inför UAT,Leverantören ska (S558) genomföra nödvändig utbildning samt överlämna relevant dokumentation enligt punkt 5 innan Beställarens UAT påbörjas.,S558
1013,S559 - Support under UAT,Leverantören ska (S559) närvara hos Beställaren och vara behjälplig då Beställaren genomför UAT.,S559
1014,S560 - Krav vid leverans och installation i produktionsmiljönmiljön,"Leverantören ska (S560) vid installation och driftsättning av Mätsystemet i Beställarens produktionsmiljö: 
-installera, -eventuellt konfigurera/parametersätta, -eventuellt migrera strukturdata, -driftsätta, -verifiera och testa Mätsystemet inklusive integrationer i produktionsmiljön, samt -genomföra felrättningar och omtester",S560
1015,S561 - Support under Produktionstest,Leverantören ska (S561) närvara hos Beställaren och vara behjälplig då Beställarens genomför produktionstest.,S561
1016,S562 - Fel i produktionsmiljön,Om utfallet av produktionstestet utvisar att någon del av Mätsystemet inte är riktigt driftsatt eller i övrigt inte fungerar som avtalat ska (S562) Leverantören så snart som möjligt vidta sådana åtgärder som erfordras för att den felande delen ska (S563) fungera i produktionsmiljön.,S562
1017,S563 - Åtgärd vid fel i produktionsmiljön,Om utfallet av produktionstestet utvisar att någon del av Mätsystemet inte är riktigt driftsatt eller i övrigt inte fungerar som avtalat ska (S562) Leverantören så snart som möjligt vidta sådana åtgärder som erfordras för att den felande delen ska (S563) fungera i produktionsmiljön.,S563
1018,S564 - Pilot,"Leverantören ska (S564) efter Beställarens godkända produktionstest genomföra en Pilot inkluderande provdrift i produktionsmiljö, enligt Bilaga B.3 Leverans- och Införandeavtal.",S564
1019,S565 - Funktion under pilot,Mätsystemet ska (S565) fungera operativt i Beställarens IT-tekniska miljö utan väsentliga driftstörningar under provdriften.,S565
1139,B507 - Systemdokumentation,Systemdokumentation och övrig dokumentation ska (B507) vara på svenska och levereras i elektroniskt format.,B507
