ID,Rubrik,Beskrivning
329,B32 - Registrera anslutning som kan orsaka varmgång,"Verifiera att Mätsystemet kan registrera och lagra information när följande Händelser inträffar:
16. Identifierad anslutning som kan orsaka varmgång (B32)."
330,B33 - Registrera varmgång i anslutning,"Verifiera att Mätsystemet kan registrera och lagra information när följande Händelser inträffar:
17. Vid varmgång i anslutning (B33)."
331,B34 - Konfigurera register som ska lagras för händelser,Verifiera att För varje Händelse finns det möjlighet att valfritt konfigurera vilka register (OBIS-koder) i Mätenheten som ska lagras.
332,B35 - Inaktivera skickandet av Händelser från specifik Mätenhet,Verifiera att Det är möjligt att inaktivera skickandet av Händelser från utpekad Mätenhet från HES i syfte att inte behöva få in en stor mängd Händelser från en viss Mätenhet.
333,B36 - Tidsangivelsen får max avvika med 1 sek,Verifiera att Tidsangivelsen högst avviker med 1 sekund från Normaltid för Mätenhet.
334,B40 - Brytarknapp på mätaren - Kat1 1 fas,Verifiera att Brytaren kan manövreras direkt med en separat brytarknapp på utsidan av Mätenheten.
335,B40 - Brytarknapp på mätaren - Kat1 3 fas,Verifiera att Brytaren kan manövreras direkt med en separat brytarknapp på utsidan av Mätenheten.
336,B41 - kumulativa räkneverket återges på Mätenhetens display - Kat1 1 fas,"Verifiera att det kumulativa räkneverket kan återges på Mätenhetens display enligt minst ett av följande två alternativ:
1. Både heltal och decimaler visas i displayen samtidigt
2. Endast heltal visas i displayen och genom handgrepp möjliggöra att decimalerna visas i displayen."
337,B41 - kumulativa räkneverket återges på Mätenhetens display - Kat1 3 fas,"Verifiera att det kumulativa räkneverket kan återges på Mätenhetens display enligt minst ett av följande två alternativ:
1. Både heltal och decimaler visas i displayen samtidigt
2. Endast heltal visas i displayen och genom handgrepp möjliggöra att decimalerna visas i displayen."
338,B41 - kumulativa räkneverket återges på Mätenhetens display - Kat2,"Verifiera att det kumulativa räkneverket kan återges på Mätenhetens display enligt minst ett av följande två alternativ:
1. Både heltal och decimaler visas i displayen samtidigt
2. Endast heltal visas i displayen och genom handgrepp möjliggöra att decimalerna visas i displayen."
339,B42 - Kommunikationsstatus - Kat1 1 fas,"Verifiera att det är möjligt att direkt, utan handgrepp och utan att öppna mätaren, kunna se Mätenhetens kommunikationsstatus."
340,B42 - Kommunikationsstatus - Kat1 3 fas,"Verifiera att det är möjligt att direkt, utan handgrepp och utan att öppna mätaren, kunna se Mätenhetens kommunikationsstatus."
341,B42 - Kommunikationsstatus - Kat2,"Verifiera att det är möjligt att direkt, utan handgrepp och utan att öppna mätaren, kunna se Mätenhetens kommunikationsstatus."
342,B43 - lysdioder i röd färg - Kat1 1 fas,Verifiera att Om Mätenheten är försedd med lysdioder som är synliga utanför Mätenheten ska dessa inte ha röd färg.
343,B43 - lysdioder i röd färg - Kat1 3 fas,Verifiera att Om Mätenheten är försedd med lysdioder som är synliga utanför Mätenheten ska dessa inte ha röd färg.
344,B43 - lysdioder i röd färg - Kat2,Verifiera att Om Mätenheten är försedd med lysdioder som är synliga utanför Mätenheten ska dessa inte ha röd färg.
345,"B54 - anslutningsplint minst kabelarea 2,5–35 mm2 - Kat1 1 fas","Verifiera att Mätenhetens anslutningsplint klarar minst kabelarea 2,5–35 mm2."
346,S170 - Status för brytare,Verifiera att det i HES är möjligt för Användaren att se om Mätenhetens brytare är till- eller frånkopplad.
347,S173 - Till och frånkoppling av kundgränssnittet från HES,Verifierar att aktivering och deaktivering av Kundgränssnittet går att göra från HES av användare med kundtjänstbehörighet. Verifierar att aktivering och deaktivering av Kundgränssnittet går att göra från HES av användare med användarbehörighet. Verifierar att aktivering och deaktivering av Kundgränssnittet går att göra från HES av användare som bara ha tittabehörighet.
348,S174 - Status för kundgränssnittet,Verifiera att det i HES är möjligt att se om Kundgränssnittet i en Mätenhet är aktiverat eller deaktiverat för datautskick.
349,B96 - Konfigurera data för kundgränssnittet,GE har beslutat att följa standard. Vi vill inte konfigurera vilken data som skickas ut.
350,S175 - Hantera rundgång,Verifiera att HES kan  hantera rundgång (Mätarställning går från max till 0) i Mätenheten så att förbrukningen blir korrekt.
351,S176 - Korrigera mätvärden,"Verifiera att En Användare i HES har möjlighet att korrigera Mätvärden, t.ex. ersätta ett felaktigt värde med ett manuellt registrerat data."
352,S177 - Interpolering i HES,Verifiera att det finns funktionalitet i HES för att kunna utföra Interpoleringar där insamlat värde saknas.
353,B97 - Manuell Estimering av saknade Mätvärden,Verifiera att det finns en funktion för manuell Estimering av saknade Mätvärden.
354,S178 - HES på svenska,Verifiera att Svenska och svensk teckenuppsättning gäller för HES.
355,B98 - Användargränssnitt på engelska,"Verifiera att användargränssnittet per Användare kan väljas att, förutom svenska, vara på engelska."
356,B99 - Systemarbete på svenska,Verifiera att för systemarbete i HES så används svenska.
357,S181 - Skillnad på test och prod,Verifiera att det är tydligt för en Användare att se skillnad på HES test- och produktionsmiljö så att Användaren enkelt ser att hen är i rätt miljö.
358,B61 - Responstider i användargränssnittet,"Verifiera att Responstider i användargränssnittet i HES  inte överstiger:
- 0,5 s från inmatning, knapptryckning el. motsv. till första respons på bildskärm. Verifiera att Responstider i användargränssnittet i HES  inte överstiger:
- 0,5 s för visning av formulär-vy inklusive data. Verifiera att Responstider i användargränssnittet i HES  inte överstiger:
- 5 s för visning av enkel rapport. Verifiera att Responstider i användargränssnittet i HES  inte överstiger:
- 15 s för inloggning."
359,S7 - Strömavbrotts start och stopp,"Verifiera att det är möjligt att identifiera ett strömavbrotts ""start och stopp"" i Mätsystemet."
360,S8 - Blockera brytare från HES,"För Kat1 - 1 fas mätare, verifiera att Mätarens brytare kan blockeras från HES för att förhindra lokal tillkoppling av strömmen. För Kat1 - 3 fas mätare, verifiera att Mätarens brytare kan blockeras från HES för att förhindra lokal tillkoppling av strömmen. För Kat2 mätare, verifiera att Mätarens brytare inte kan blockeras från HES för att förhindra lokal tillkoppling av strömmen."
361,S10 - Manuell avfrgåning - max 10 sek,För ett flertal mätare (en åt gången) - Verifiera att svarstiden på en manuell avfrågning av Energivärden från HES till enskild Mätenhet är max 10 sekunder.
362,S11 - Energivärden till HES inom 2h,Verifiera att Energivärdena (15-minutersvärden) levereras till HES senast inom 2 timmar från registrering i Mätenhet.
363,B4 - Energivärdena ska levereras kontinuerligt,Verifiera att Energivärdena (15-minutersvärden) levereras kontinuerligt från Mätenhet till HES.
364,S12 - PQ värden till HES inom 4h,Verifiera att PQ-värdena (15-minutersvärden) kan levereras senast inom 4 timmar från registrering i Mätenheterna till HES.
365,B5 -  PQ-värden ska levereras inom 15 min,"Verifiera att PQ-värdena (15-minutersvärden) levereras senast inom 15 minuter från registrering i mätarna till HES för en utvald grupp av mätare (max 20 % av det totala antalet mätare)
(testa i kombination med simulerade mätare)."
366,"S13 - 98,0 %  till HES 4h efter dygnsskifte","Verifiera att  det finns rutiner som beskriver att vi kontinuerligt får rapporter som påvisar att 98,0 % av Energivärdena blir insamlade till HES inom 4 timmar efter dygnsskiftet."
367,"S14 - 99,5 %  till HES 24h efter dygnsskifte","Verifiera att  det finns rutiner som beskriver att vi kontinuerligt får rapporter som påvisar att 99,5 % av Energivärdena är insamlade till HES inom 24 timmar efter dygnsskiftet."
368,B6 - 100% energivärden inom 96h,Verifiera att  det finns rutiner som beskriver att vi kontinuerligt får rapporter som påvisar att 100 % av Energivärdena är insamlade till HES inom 96 timmar efter dygnsskiftet.
369,S15 - Komdata lagras i mätare,Kommunikationsmetadata loggas varannan timma i Mätenhet och det skickas 1-3 gånger per dygn.
370,S16 - Komdata till HES,Kommunikationsmetadata loggas varannan timma i Mätenhet och det skickas 1-3 gånger per dygn.
371,B7 - Kommunikationsmetadata  ska levereras kontinuerligt,Verifiera att Kommunikationsmetadata loggas varannan timma i Mätenhet. Verifiera att Kommunikationsmetadata skickas till HES minst 1 gång  / dygn.
372,S17 - PQ händelser till HES inom 5 min,Verifiera att PQ-händelser finns tillgängliga i HES systemet inom 5 minuter.
373,S18 - Avbrottshändelser till HES inom 3 min,Verifiera att Avbrottshändelse finns tillgängliga i HES systemet inom 3 minuter.
374,B8 - Avbrottshändelse inom 1 minut,Verifiera att Avbrottshändelse finns tillgängliga i HES systemet inom 1 minut.
375,S19 - Övriga händelser till HES inom 5 min,Verifiera att övriga Händelser (exklusive PQ-händelser och Avbrottshändelse) finns tillgängliga i HES systemet inom 5 minuter.
376,S63 - Uppgradering från HES,Verifiera att Mjukvara i mätare (förutom metrologisk mjukvara) och kommunikationsenhet kan uppgraderas från HES.
377,S189 - All mätdata för alla mätare inom 60 min,Verifiera att kommunikationslösningen klarar av att hämta in 95 % av all Mätdata från 300 000 mätare och för de senaste 24 timmarna inom 60 minuter.
378,B102 - Hämta mätardata för 24h för  95% av mätare inom 60 min,Verifiera att Kommunikationslösningen ska  klarar av att hämta in 95 % av all Mätdata från 400 000 mätare och för de senaste 24 timmarna inom 60 minuter.
379,S651/S652 - Leverans av dokumentation,Verifiera att Leverantören har försett Beställaren med dokumentation så att Beställaren efter leveransen självständigt ska (S652) kunna arbeta och underhålla Mätsystemet med hjälp av dokumentationen. Verifiera att Leverantören har försett Beställaren med dokumentation så att Beställaren efter leveransen självständigt ska (S652) kunna arbeta och underhålla Mätsystemet med hjälp av dokumentationen.
380,S653 - Dokumentation ingår i leveransen,Verifiera att Dokumentationen ingår i leveransen.
381,S655 - Heltäckande dokumentation,Verifiera att Dokumentationen täcker Mätsystemets alla delar.
382,S656 - Dokumentationens språk och format,Verifiera att Användarhandledning och övrig dokumentation är på svenska. Verifiera att Användarhandledning och övrig dokumentationlevereras i elektroniskt format.
383,S657 - Strukturering av dokumentationen,Verifiera att Strukturering av dokumentationen är gjord i samråd med beställaren och på ett för denne lämpligt sätt.
384,S658 - Dokumentationens målgrupper - systemingenjör,"Verifiera att Dokumentation är anpassad för Mätsystemets målgrupp:
- Användare som från operatörsplats använder Mätsystemet för att övervaka mätinsamling, analysera mätdata, lägger arbetsorder på byte av Mätenhet, validerar Mätvärden kontrollerar spänning hos kund, gör till- och frånkoppling, samt hur man aktiverar kundgränssnittet mm."
385,S658 - Dokumentationens målgrupper - Systemspecialist,"Verifiera att Dokumentation är anpassad för Mätsystemets målgrupp:
- Systemspecialist förutsätts ha baskunskaper om den IT-tekniska miljön och ska svara för Mätsystemets drift i övrigt och diagnosticera fel."
386,S658 - Dokumentationens målgrupper - Mätarmontör,"Verifiera att Dokumentation är anpassad för Mätsystemets målgrupp:
- Mätarmontör förutsätts ha baskunskaper om underhåll av elmätare i fält, och ska ha kunskap att svara för framtida nyinstallation, underhåll av mätenheter och kommunikationsinfrastruktur."
387,S659 - Dokumentation till UAT,"Verifiera att Leverantören tillhandahåller preliminärutgåvor av handhavandebeskrivningar, manualer, specifikationer och eventuell annan nödvändig dokumentation innan Beställaren påbörjar UAT."
388,S660 - Fokus för dokumentationen,"Verifiera att Dokumentationen beskriver Mätsystemet med tonvikt på handhavande, installation och konfigurering."
389,S661 - Utbildning av beställarens personal - systemspecialist,"Verifiera att Leverantören inom ramen för Leveransprojektet tillhandahåller de utbildningar av Beställarens personal som krävs för att genomföra projektet, sköta applikationsdrift samt att nyttja systemet."
390,S661 - Utbildning av beställarens personal - montör,"Verifiera att Leverantören inom ramen för Leveransprojektet tillhandahåller de utbildningar av Beställarens personal som krävs för att genomföra projektet, sköta applikationsdrift samt att nyttja systemet."
391,S661 - Utbildning av beställarens personal - Systemingenjör,"Verifiera att Leverantören inom ramen för Leveransprojektet tillhandahåller de utbildningar av Beställarens personal som krävs för att genomföra projektet, sköta applikationsdrift samt att nyttja systemet."
392,S662 - Instruktioner och utbildningsmaterial i god tid,"Verifiera att Leverantören i god tid till beställaren överlämnar instruktioner och utbildningsmaterial så att beställaren kan installera, konfigurera, testa, och driftsätta all utrustning och programvara som behöver installeras av beställaren i samband med nyinstallationer."
393,S663 - Utbildning på svenska - systemingenjör,Verifiera att all utbildning inklusive utbildningsdokumentation är vara på svenska.
394,S663 - Utbildning på svenska - montör,Verifiera att all utbildning inklusive utbildningsdokumentation är vara på svenska.
395,S663 - Utbildning på svenska - systemspecialist,Verifiera att all utbildning inklusive utbildningsdokumentation är vara på svenska.
396,S664 - Material till interna utbildningar,Verifiera att Beställaren har rätt att använda utbildningsmaterialet vid interna utbildningar.
397,S665 - Nivå på utbildning - systemingenjör,Verifiera att Utbildningen är anpassad till målgruppens kunskapsnivå.
398,S665 - Nivå på utbildning - montör,Verifiera att Utbildningen är anpassad till målgruppens kunskapsnivå.
399,S665 - Nivå på utbildning - systemspecialist,Verifiera att Utbildningen är anpassad till målgruppens kunskapsnivå.
400,S666 - Utbildningens omfattning - systemingenjör,"Verifiera att Utbildningen även omfattar 
-Kallelse till utbildning. Verifiera att Utbildningen även omfattar 
 -Elektronisk kursdokumentation. Verifiera att Utbildningen även omfattar  
-Kursutvärdering ska ske digitalt efter varje utbildningstillfälle och en sammanfattad kursutvärdering och överlämnas till Beställaren."
401,S666 - Utbildningens omfattning - montör,"Verifiera att Utbildningen även omfattar 
-Kallelse till utbildning. Verifiera att Utbildningen även omfattar 
 -Elektronisk kursdokumentation. Verifiera att Utbildningen även omfattar  
-Kursutvärdering ska ske digitalt efter varje utbildningstillfälle och en sammanfattad kursutvärdering och överlämnas till Beställaren."
402,S666 - Utbildningens omfattning - systemspecialist,"Verifiera att Utbildningen även omfattar 
-Kallelse till utbildning. Verifiera att Utbildningen även omfattar 
 -Elektronisk kursdokumentation. Verifiera att Utbildningen även omfattar  
-Kursutvärdering ska ske digitalt efter varje utbildningstillfälle och en sammanfattad kursutvärdering och överlämnas till Beställaren."
403,B84 - Visa mätare med kommunikationsproblem i lista,Verifiera att det vid kommunikationsproblem genereras en händelse och ett uppdrag i en lista som visar för användaren att det är problem med mätaren.
404,B83 - Visa mätare med kommunikationsproblem i karta,Verifiera att det i HES är möjligt att visualisera Mätenheter med kommunikationsproblem i en grafisk vy/karta som går att zooma in och ut.
405,B82 - Upptäcka område med kommunikationsproblem,Verifiera att det i HES är möjligt för Användaren att upptäcka och se områden där flera Mätenheter har kommunikationsproblem.
406,S1 - Lagkrav,"Kamstrup visar på hur de uppfyller:
1. Ellag SFS 1997:857. Kamstrup visar på hur de uppfyller:
2. Förordningen (SFS 1999:716) om mätning, beräkning och rapportering av överförd el. Kamstrup visar på hur de uppfyller:
3. EIFS 2016:2 – Energimarknadsinspektionens Föreskrifter och allmänna råd om mätning, beräkning och rapportering av överförd el. Kamstrup visar på hur de uppfyller:
4. STAFS 2016:1 – Swedacs Föreskrifter om mätinstrument. Kamstrup visar på hur de uppfyller:
5. STAFS 2016:4 – Swedacs Föreskrifter och allmänna råd om mätare för aktiv elenergi. Kamstrup visar på hur de uppfyller:
6. STAFS 2009:8 – Swedacs Föreskrifter och allmänna råd om mätsystem för mätning av överförd el. Kamstrup visar på hur de uppfyller:
7. STAFS 2009:9 – Swedacs Föreskrifter och allmänna råd om återkommande kontroll av mätare för aktiv elenergi. Kamstrup visar på hur de uppfyller:
8. EU:s MID direktiv 2014/32/EU. Kamstrup visar på hur de uppfyller:
9. Utökat typgodkännande och certifiering av Kategori 1 och 2 mätare enligt metod SPM 1618, test med 12kV stötspänning. Kamstrup visar på hur de uppfyller:
10. Standarder: SS-EN61869-1, SS-EN61869-2, SS-EN50470 och IEC 62056 (DLMS/COSEM suite). Kamstrup visar på hur de uppfyller:
11. EU Förordning 2016/679 av den 27 april 2016 om skydd för fysiska personer med avseende på behandling av personuppgifter och om det fria flödet av sådana uppgifter och om upphävande av direktiv 95/46/EG (allmän dataskyddsförordning). Kamstrup visar på hur de uppfyller:
12. EU-försäkran om överenstämmelse ska finnas för Mätsystemet om detta eller delar därav tillverkas i land utanför EU. Kamstrup visar på hur de uppfyller:
13. Lag (2003:389) om elektronisk kommunikation."
407,S20 - Leverans av fabriksfil,"Verifiera att Leverantörens fabriksfil, (innehållande Mätenheternas uppgifter), levereras i ett standardiserat textfilsformat textformat, exempelvis csv. Importera filen i Generis."
408,S21 - Mätenhetens driftområde - Kat 1,"Kamstrup demonstrerar/beskriver hur mätaren är  anpassad för utomhusmätning med driftområde (""specified operation range"") -40 grader C till +70 grader C (3K7). Kamstrup demonstrerar/beskriver hur mätaren är konstruerad att tåla kondenserad fuktighet."
409,S21 - Mätenhetens driftområde - Kat 2,"Kamstrup demonstrerar/beskriver hur mätaren är  anpassad för utomhusmätning med driftområde (""specified operation range"") -40 grader C till +70 grader C (3K7). Kamstrup demonstrerar/beskriver hur mätaren är konstruerad att tåla kondenserad fuktighet."
410,S21 - Mätenhetens driftområde - RISE,"Verifiera att mätaren är  anpassad för utomhusmätning med driftområde (""specified operation range"") -40 grader C till +70 grader C (3K7)."
411,S23 - Mätehenten matas ov Omätt ström - Kat1 -1 fas,Verifiera att Mätenheter ärså konstruerade att de matas av Omätt ström.
412,S23 - Mätehenten matas ov Omätt ström - Kat1 -3 fas,Verifiera att Mätenheter ärså konstruerade att de matas av Omätt ström.
413,S23 - Mätehenten matas ov Omätt ström - Kat2,Verifiera att Mätenheter ärså konstruerade att de matas av Omätt ström.
414,S27 - typgodkännande - Kat1,"Verifiera att Utökat typgodkännande och certifiering av Mätenheter genomför enligt metod SPM 1618, test med 12 kV stötspänning."
415,S27 - typgodkännande - Kat2,"Verifiera att Utökat typgodkännande och certifiering av Mätenheter genomför enligt metod SPM 1618, test med 12 kV stötspänning."
416,S31 - Vektorsummerad mätning - Kat1,Verifiera att Mätmetoden i Mätenheten är vektorsummerad mätning enligt Föreskrift STAFS 2009:8.
417,S31 - Vektorsummerad mätning - Kat2,Verifiera att Mätmetoden i Mätenheten är vektorsummerad mätning enligt Föreskrift STAFS 2009:8.
418,S39 - Kontroll av mätenehtet - Kat1 3 fas,Verifiera att Varje enskild Mätenhet ska (S39) vara kalibrerad och kontrollerad att den mäter inom de gränsvärden som anges i SS-EN 50470.
419,S39 - Kontroll av mätenehtet - Kat2,Verifiera att Varje enskild Mätenhet ska (S39) vara kalibrerad och kontrollerad att den mäter inom de gränsvärden som anges i SS-EN 50470.
420,S39 - Kontroll av mätenehtet - Kat1 1 fas,Verifiera att Varje enskild Mätenhet ska (S39) vara kalibrerad och kontrollerad att den mäter inom de gränsvärden som anges i SS-EN 50470.
421,S39 - Kontroll av mätenhet - granska rutin,Kamstrup demonstrerar verbalt eller i dokumentation hur varje enskild Mätenhet är verifiera och kontrollerad att den mäter inom de gränsvärden som anges i SS-EN 50470/EN 62058-31.
422,S40 - Ackrediterad part för kalibrering,Verifiera att Kalibreringen utföras av en för ändamålet ackrediterad part.
423,S41 - Kalibreringsrapport för mätenhet,Verifiera att en kalibreringsrapport levereras digitalt till GE innan eller i samband med att Mätenheterna levereras fysiskt där det framgår att varje enskild Mätenhet (med ID-nummer) är kalibrerad och kontrollerad.
424,S42 - Kalibreringsbevis retroaktiv,Verifiera att Beställaren kan begära och få ut kalibreringsbevis retroaktivt från Leverantören i minst 10 år efter leverans av Mätenhet.
425,S43 - Testpuls för kalibrering - Kat1 3 fas,Verifiera att Mätenheten är försedd med en testpuls som kan användas till kalibrering.
426,S43 - Testpuls för kalibrering - Kat2,Verifiera att Mätenheten är försedd med en testpuls som kan användas till kalibrering.
427,S43 - Testpuls för kalibrering - Kat1 1 fas,Verifiera att Mätenheten är försedd med en testpuls som kan användas till kalibrering.
428,S82 - 1-fas och 3-fas mätning ska uppfylla Mätarparametrar enligt MID,"Verifiera att 1-fas och 3-fas mätning uppfyller mätarparametrar enligt MID:
- Class index = B (eller bättre). Verifiera att 1-fas och 3-fas mätning uppfyller mätarparametrar enligt MID:
- Minimum current (Imin) = 0,25 A (eller lägre). Verifiera att 1-fas och 3-fas mätning uppfyller mätarparametrar enligt MID:
- Reference current (In) = 5 A. Verifiera att 1-fas och 3-fas mätning uppfyller mätarparametrar enligt MID:
- Maximum current (Imax) = 85 A (eller högre) (inklusive brytarfunktion)."
429,S85 - Dokumentation om Mätenhetens typiska påverkan,"Verifiera att Leverantören utöver typgodkännande specificera och tillhandahålla dokumentation om Mätenhetens typiska påverkan av följande influensstorheter (se SS-EN 50470-3, tabell 6):
- Temperaturkoefficient
- Voltage variation ± 10 %
- Frequency variation ± 2 %."
430,S86 - Hantering av både primär- och sekundärregistrering - Kat2,"Verifiera att Mätenheterna kan hantera primärregistrering av Mätvärden. Verifiera att Mätenheterna kan hantera sekundärregistrering av Mätvärden,."
431,S87 - Strömtransformatorns omsättningskonstant - Kat2,Verifiera att Mätaren kan hantera strömtransformatorns omsättningskonstant.
432,S88 - Kat 2 ska uppfylla kraven för kontroll,"Verifiera att Mätenheter Kategori 2 uppfyller kraven för Kontroll, enligt Föreskrift STAFS 2009:8, för den första Kontrollen, dock maximalt 12 år efter att Slutgodkännande lämnats av Beställaren."
433,B52 - 3-fas anpassas till 1-fasig mätning,Verifiera att 3-fas Mätenheter kan anpassas till 1-fasig mätning och då uppfylla de normkrav (MID) som finns på en rent 1-fasig mätare.
434,B53 - dimensionerad minst strömstyrka 5A,Verifiera att Mätenheten är dimensionerad för minst strömstyrka 5 (Imax 100) A.
435,S68 - Unikt tillverkningsnummer - Kat1,Verifiera att Mätaren är försedd med Leverantörens unika tillverkningsnummer.
436,S68 - Unikt tillverkningsnummer - dokumentation,Verifiera att Mätaren är försedd med Leverantörens unika tillverkningsnummer som inte förekommer på Leverantörens tidigare eller framtida produkter.
437,S69 - Unikt tillverkningsnummer - kommunikationsmodul - Kat1,Verifiera att Mätenhetens Kommunikationsmodul är försedd med unikt tillverkningsnummer.
439,S69 - Unikt tillverkningsnummer - kommunikationsmodul - Kat2,Verifiera att Mätenhetens Kommunikationsmodul är försedd med unikt tillverkningsnummer.
440,S68 - Unikt tillverkningsnummer - Kat2,Verifiera att Mätaren är försedd med Leverantörens unika tillverkningsnummer.
441,S70 - Synligt tillverkningsnummer - kommunikationsmodul - Kat1,Verifiera att Ett tillverkningsnummer på en Kommunikationsmodul är placerat så att det inte är synligt på Mätenhetens framsida.
442,S70 - Synligt tillverkningsnummer - kommunikationsmodul - Kat2,Verifiera att Ett tillverkningsnummer på en Kommunikationsmodul är placerat så att det inte är synligt på Mätenhetens framsida.
443,S71 - Synligt tillverkningsnummer - Kat1,Verifiera att Mätarens tillverkningsnummer är placerat synligt på framsidan av Mätenheten.
444,S71 - Synligt tillverkningsnummer - Kat2,Verifiera att Mätarens tillverkningsnummer är placerat synligt på framsidan av Mätenheten.
445,S72 - Beständig märkning - Kat1,Verifiera att Märkningen av Mätarens tillverkningsnummer är beständigt under Mätenhetens livslängd dvs inte löstagbar tejp eller tryck som går att skrapa bort.
446,S72 - Beständig märkning - Kat2,Verifiera att Märkningen av Mätarens tillverkningsnummer är beständigt under Mätenhetens livslängd dvs inte löstagbar tejp eller tryck som går att skrapa bort.
447,S73 - Läsbar märkning - Kat1,"Verifiera att Märkningen av Mätarens tillverkningsnummer är väl läsbart
- d.v.s. fontstorleken får inte vara för liten så att numret blir svårläst t.ex. för en kund."
448,S73 - Läsbar märkning - Kat2,"Verifiera att Märkningen av Mätarens tillverkningsnummer är väl läsbart
- d.v.s. fontstorleken får inte vara för liten så att numret blir svårläst t.ex. för en kund."
449,"S74 - Läsbar märkning, lock - Kat1","Verifiera att Märkningen av Mätarens tillverkningsnummer är väl läsbart
- d.v.s. om det finns ett lock på Mätenheten där tillverkningsnumret är placerat ska (S74) locket vara transparent så att serienumret går att avläsa även med stängt lock."
450,"S74 - Läsbar märkning, lock - Kat2","Verifiera att Märkningen av Mätarens tillverkningsnummer är väl läsbart
- d.v.s. om det finns ett lock på Mätenheten där tillverkningsnumret är placerat ska (S74) locket vara transparent så att serienumret går att avläsa även med stängt lock."
451,S75 - Märkningens placering - Kat1,"Verifiera att Mätarens tillverkningsnummer är placeras på en ej löstagbar del (ej anslutningslock, ej lock till Kommunikationsmodul, etc.)."
452,S75 - Märkningens placering - Kat2,"Verifiera att Mätarens tillverkningsnummer är placeras på en ej löstagbar del (ej anslutningslock, ej lock till Kommunikationsmodul, etc.)."
453,S76 - Märkning som kod och i klartext - Kat1,Verifiera att Mätenhetens tillverkningsnummer utgöras av både en streckkod eller motsvarande och ett nummer i klartext.
454,S76 - Märkning som kod och i klartext - Kat2,Verifiera att Mätenhetens tillverkningsnummer utgöras av både en streckkod eller motsvarande och ett nummer i klartext.
455,S77 - Utformad för väggmontage - Kat1,Verifiera att Mätenheterna är utformad för väggmontage.
456,S77 - Utformad för väggmontage - Kat2,Verifiera att Mätenheterna är utformad för väggmontage.
457,S78 - Montagehängslets placering - Kat1,Verifiera att Montagehängslets nyckelhålshöjd är placerad minst 12 mm från Mätenhetens ovansida.
458,S78 - Montagehängslets placering - Kat2,Verifiera att Montagehängslets nyckelhålshöjd är placerad minst 12 mm från Mätenhetens ovansida.
459,S79 - Montering i mätarutrymme - Kat1,Verifiera att Mätenheterna kan monteras på olika typer av mätarutrymme med måttangivelser i enlighet med det som anges under punkt 5 i den senaste utgåvan av svensk standard SS 430 01 01.
460,S79 - Montering i mätarutrymme - Kat2,Verifiera att Mätenheterna kan monteras på olika typer av mätarutrymme med måttangivelser i enlighet med det som anges under punkt 5 i den senaste utgåvan av svensk standard SS 430 01 01.
461,S80 - Plombering - Kat1,Verifiera att Mätenhetens lock och eventuellt separat lock till Kommunikationsmodul kan plomberas.
462,S80 - Plombering - Kat2,Verifiera att Mätenhetens lock och eventuellt separat lock till Kommunikationsmodul kan plomberas.
463,S81 - Plintlock - Kat1,Verifiera att Mätenheten har plintlock som täcker anslutningskablaget.
464,S81 - Plintlock - Kat2,Verifiera att Mätenheten har plintlock som täcker anslutningskablaget.
465,B45 - skruvinfästningar - Kat2,Verifiera att det inte finnas några förhöjningar runt Mätenhetens skruvinfästningar som begränsar storlek på skruvhuvud.
466,B45 - skruvinfästningar - Kat1,Verifiera att det inte finnas några förhöjningar runt Mätenhetens skruvinfästningar som begränsar storlek på skruvhuvud.
467,B46 - montagehängsle - Kat1,Verifiera att det finns ett montagehängsle placerad på Mätenhetens ovansida för montage.
468,B46 - montagehängsle - Kat2,Verifiera att det finns ett montagehängsle placerad på Mätenhetens ovansida för montage.
469,B47 - montagehängsle minst 5 mm - Kat1,Verifiera att tjockleken på Mätenhetens montagehängsle är minst 5 mm.
470,B47 - montagehängsle minst 5 mm - Kat2,Verifiera att tjockleken på Mätenhetens montagehängsle är minst 5 mm.
471,B48 - plomberingsanordning - Kat1,Verifiera att Mätenhetens plomberingsanordning är upphöjd och väl synlig för smidig och åtkomlig genomföring av plomberingstråden.
472,B48 - plomberingsanordning - Kat2,Verifiera att Mätenhetens plomberingsanordning är upphöjd och väl synlig för smidig och åtkomlig genomföring av plomberingstråden.
473,B49 - skruvhuvud på plomberingsskruvarna - Kat1,Verifiera att det är samma typ av skruvhuvud på plomberingsskruvarna som på anslutningsskruvarna för ledarna.
474,B49 - skruvhuvud på plomberingsskruvarna - Kat2,Verifiera att det är samma typ av skruvhuvud på plomberingsskruvarna som på anslutningsskruvarna för ledarna.
475,B50 - Kortare plintlock - Kat1,Verifiera att kortare plintlock för Mätenheten finns som alternativ om utrymmet på montageplatsen är begränsat.
476,B50 - Kortare plintlock - Kat2,Verifiera att kortare plintlock för Mätenheten finns som alternativ om utrymmet på montageplatsen är begränsat.
477,S84 - Mätenhet ska uppfylla Mätarparametrar enligt MID,"Mätenhet uppfyller mätarparametrar enligt MID:
- Class index = B (eller bättre). Mätenhet uppfyller mätarparametrar enligt MID:
- Minimum current (Imin) = 0,01 A (eller lägre). Mätenhet uppfyller mätarparametrar enligt MID:
- Rated current (In) = 1 A. Mätenhet uppfyller mätarparametrar enligt MID:
- Maximum current (Imax) = 6 A (eller högre)."
478,S86 - Hantering av både primär- och sekundärregistrering - Kat1,"Verifiera att Mätenheterna kan hantera både primär- och sekundärregistrering av Mätvärden,."
